"","t","Year","Month","date","sales","y_BCT_Guerr","y_BCT_loglik","y_BCT_log","y_BCT_sqrt","stl_residuals"
"71",71,2014,11,2014-11-30,28846,488.554436260915,11476.0513665568,10.2697266141435,169.841102210272,-0.0255780899512517
"72",72,2014,12,2014-12-31,31618,513.651663639564,12464.0657883221,10.3614818576561,177.814510094087,-0.0900487491093596
"73",73,2015,1,2015-01-31,26763,468.963012190179,10727.3839408672,10.1947756155819,163.594009670281,0.0950567146541743
"74",74,2015,2,2015-02-28,32942,525.283752671958,12932.8769916793,10.4025037183426,181.499311293459,-0.0196431487973378
"75",75,2015,3,2015-03-31,40800,590.337557708628,15679.0903171319,10.6164373603923,201.990098767242,-0.0420252599036188
"76",76,2015,4,2015-04-30,34066,534.992391125487,13329.3913202345,10.4360550984205,184.569770005817,-0.0285119866422345
"77",77,2015,5,2015-05-31,43837,613.922102384272,16725.7416268181,10.6882334886235,209.372873123526,0.000565872170555943
"78",78,2015,6,2015-06-30,37408,563.028080026618,14500.80975997,10.5296398642718,193.411478459785,0.081403150394727
"79",79,2015,7,2015-07-31,38435,571.411629388174,14858.6452016131,10.5567237817832,196.048463396172,-0.000613505637111505
"80",80,2015,8,2015-08-31,37592,564.537744742392,14564.9919813474,10.5345465407827,193.886564774355,-0.0156863856348553
"81",81,2015,9,2015-09-30,34487,538.591108159867,13477.5689860362,10.4483377204139,185.706758089198,0.0472068434409498
"82",82,2015,10,2015-10-31,34781,541.09235752307,13580.9396268578,10.4568265396514,186.496648763456,0.0243505792655782
"83",83,2015,11,2015-11-30,30945,507.653846343327,12225.0166246679,10.3399667141735,175.911909773045,-0.00467425655394825
"84",84,2015,12,2015-12-31,37299,562.132170315506,14462.7738873088,10.526721795621,193.129490239062,0.0196188851325122
"85",85,2016,1,2016-01-31,26848,469.775796497819,10758.0456637684,10.1979466092669,163.853593186112,0.0459452791829044
"86",86,2016,2,2016-02-29,32405,520.592084288102,12742.9637453713,10.3860680108618,180.013888353093,-0.0161359188864809
"87",87,2016,3,2016-03-31,36991,559.594134246332,14355.2361691157,10.5184299187947,192.330444807888,-0.00349584547726587
"88",88,2016,4,2016-04-30,34039,534.76090438502,13319.8820133047,10.4352622050525,184.496612435025,0.0137555918988884
"89",89,2016,5,2016-05-31,36916,558.974648569166,14329.0365055949,10.5164003403855,192.13536894596,-0.0706021393667578
"90",90,2016,6,2016-06-30,32561,521.958657098048,12798.1662815507,10.3908705321756,180.44666802133,0.0311887811917318
"91",91,2016,7,2016-07-31,34122,535.47224519592,13349.1119253412,10.4376976165349,184.721411861213,-0.0350768702433405
"92",92,2016,8,2016-08-31,32864,524.604458074036,12905.3111622744,10.4001331127283,181.284307097995,-0.0242052215015842
"93",93,2016,9,2016-09-30,30707,505.518563405403,12140.3552417421,10.3322459206136,175.234129095904,0.00850547442930961
"94",94,2016,10,2016-10-31,29562,495.138642813783,11732.1280195926,10.294245031772,171.936034617529,0.0515886012693943
"95",95,2016,11,2016-11-30,28189,482.446897391527,11240.5164589738,10.2466871099068,167.895801019561,-0.027326403656809
"96",96,2016,12,2016-12-31,33412,529.361509111704,13098.8412410896,10.4166703958758,182.789496415959,0.0574526386455079
"97",97,2017,1,2017-01-31,20313,403.383233409919,8369.44192069753,9.91901635415375,142.523682242636,-0.198870707122266
"98",98,2017,2,2017-02-28,27498,475.952825319863,10992.1992085364,10.2218685537372,165.825209181234,-0.00116779102516992
"99",99,2017,3,2017-03-31,35648,548.412896996855,13885.2719992334,10.481448323287,188.806779539295,0.0576122020784493
"100",100,2017,4,2017-04-30,31428,511.964320207089,12396.629925419,10.3554544942957,177.27944043233,-0.0434820201668721
"101",101,2017,5,2017-05-31,32547,521.836138079486,12793.2132898516,10.3904404774906,180.407871225177,-0.0290785339667555
"102",102,2017,6,2017-06-30,29463,494.232623776513,11696.7580556575,10.2908905178259,171.647895413838,-0.0518871385153267
"103",103,2017,7,2017-07-31,33827,532.940386569391,13245.1900779061,10.429014579155,183.921178769602,0.0711078158056044
"104",104,2017,8,2017-08-31,37051,560.089310485419,14376.1920750841,10.5200506209133,192.486363153341,0.0511998540723206
"105",105,2017,9,2017-09-30,34732,540.676154130757,13563.7172741035,10.4554167311805,186.365232809127,0.0798513044931619
"106",106,2017,10,2017-10-31,26252,464.051720091643,10542.8463855812,10.1754974555936,162.024689476635,-0.108773228605911
"107",107,2017,11,2017-11-30,34991,542.87306537878,13654.7222768226,10.4628461645475,187.058814280429,0.222765024237049
"108",108,2017,12,2017-12-31,43331,610.045626598613,16551.8742601331,10.676623593166,208.160995385783,0.258951560100647
"109",109,2018,1,2018-01-31,24638,448.245630897898,9957.58307954283,10.1120452455219,156.964964243617,-0.14710969270667
"110",110,2018,2,2018-02-28,30865,506.936942509735,12196.5663066349,10.337378134828,175.684376083931,0.116900726006056
"111",111,2018,3,2018-03-31,35264,545.180715662668,13750.5735846737,10.4706178925126,187.787113508888,-0.063470698527575
"112",112,2018,4,2018-04-30,29848,497.748288145387,11834.2415430656,10.303873114901,172.765737343954,-0.0672729805101187
"113",113,2018,5,2018-05-31,29965,498.812581719982,11875.9870109711,10.3077853128923,173.104014973657,-0.0500502591881873
"114",114,2018,6,2018-06-30,28215,482.689821838596,11249.8478278731,10.2476090304032,167.973212150033,-0.027156645032825
"115",115,2018,7,2018-07-31,26311,464.620990105764,10564.1712857541,10.1777423816739,162.206658309701,-0.000193795493183221
"116",116,2018,8,2018-08-31,30141,500.410007353447,11938.7529387765,10.3136416501304,173.611635554763,-0.0238019969605229
"117",117,2018,9,2018-09-30,27640,477.293373941636,11043.2786683594,10.2270192778816,166.252819524963,0.0357088407629035
"118",118,2018,10,2018-10-31,26914,470.406090560106,10781.8468940067,10.2004018763015,164.054868870144,-0.0245825403387476
"119",119,2018,11,2018-11-30,24545,447.320692121311,9923.74509598837,10.1082634464922,156.668439706279,-0.122076987302177
"120",120,2018,12,2018-12-31,29093,490.834136667031,11564.4616937863,10.2782528743947,170.566702494948,0.10261200752549
"121",121,2019,1,2019-01-31,23802,439.872935680596,9652.94005720873,10.0775248897424,154.278968106479,-0.00583064160084721
"122",122,2019,2,2019-02-28,24267,444.546248738102,9822.51832269488,10.0968726816861,155.778689171529,0.0118125939396945
"123",123,2019,3,2019-03-31,33615,531.114658081423,13170.451316711,10.4227276749031,183.34393908717,0.03780674392493
"124",124,2019,4,2019-04-30,29227,492.067204240769,11612.3937531408,10.2828482185582,170.959059426519,-0.00241708461640922
"125",125,2019,5,2019-05-31,36208,553.098169538751,14081.4476971788,10.4970353678733,190.283998276261,0.055512419444705
"126",126,2019,6,2019-06-30,28889,488.951945296067,11491.4480628268,10.2712161788079,169.96764397967,-0.103303564152102
"127",127,2019,7,2019-07-31,27134,472.501996914249,10861.1422675866,10.2085428330453,164.724011607294,-0.00123116089641682
"128",128,2019,8,2019-08-31,31986,516.906683652822,12594.5634235716,10.3730535860508,178.846302729467,0.0184136641405796
"129",129,2019,9,2019-09-30,23328,435.066116221673,9479.73825659667,10.0574096348084,152.735064736294,-0.0466903898713006
"130",130,2019,10,2019-10-31,26602,467.42026960678,10669.2803067078,10.1887416799132,163.101195581148,0.0590118182858927
"131",131,2019,11,2019-11-30,25611,457.828904938725,10310.8525303814,10.1507772256784,160.034371308166,0.0200802706117955
"132",132,2019,12,2019-12-31,26309,464.60170235549,10563.4484861419,10.1776663649502,162.200493217499,-0.107726615374323
"133",133,2020,1,2020-01-31,24824,450.09074470331,10025.2207885672,10.1195662061282,157.556339129849,0.106188979494599
"134",134,2020,2,2020-02-29,29245,492.232643589848,11618.8307116609,10.2834638978771,171.011695506477,0.0681481984143712
"135",135,2020,3,2020-03-31,23119,432.932515984665,9403.2572350594,10.0484100692557,152.049334099167,-0.431980513255955
"136",136,2020,4,2020-04-30,8768,254.737434881243,3928.66653209923,9.0788640091878,93.637599285757,-0.894325715492185
"137",137,2020,5,2020-05-31,19484,394.302001718097,8061.3530913683,9.87734889492643,139.585099491314,0.0135549569031132
"138",138,2020,6,2020-06-30,20459,404.964951568606,8423.56964344283,9.92617816245583,143.034960761347,-0.0659879150877398
"139",139,2020,7,2020-07-31,22792,429.576570959723,9283.45650050879,10.0341648761777,150.970195734125,0.0268963397041264
